CRN,SUBJ,CRSE,TITLE,CR HRS,TIME,DAYS,INSTRUCTOR
17444,CS,361,DATA STRUCTURES/ALGORITHMS,3,HOURS ARR,,fac292
17445,CS,361,DATA STRUCTURES/ALGORITHMS,3,HOURS ARR,,fac293
17627,CS,361,DATA STRUCTURES/ALGORITHMS,3,HOURS ARR,,fac294
24801,CS,361,DATA STRUCTURES/ALGORITHMS,3, 100- 150PM,MWF,fac295
10240,CS,367,COOPERATIVE EDUCATION,3,HOURS ARR,,fac296
15596,CS,367,COOPERATIVE EDUCATION,3,HOURS ARR,,fac297
10241,CS,368,COMPUTER SCIENCE INTERNSHIP,3,HOURS ARR,,fac298
15597,CS,368,COMPUTER SCIENCE INTERNSHIP,3,HOURS ARR,,fac299
22773,CS,368,COMPUTER SCIENCE INTERNSHIP,3,HOURS ARR,,fac300
22774,CS,368,COMPUTER SCIENCE INTERNSHIP,3,HOURS ARR,,fac301
10243,CS,381,INTRO TO DISCRETE STRUCTURES,3, 300- 415PM,W,fac302
13863,CS,381,INTRO TO DISCRETE STRUCTURES,3,HOURS ARR,,fac303
13864,CS,381,INTRO TO DISCRETE STRUCTURES,3,HOURS ARR,,fac304
13866,CS,381,INTRO TO DISCRETE STRUCTURES,3,HOURS ARR,,fac305
16820,CS,381,INTRO TO DISCRETE STRUCTURES,3,HOURS ARR,,fac306
22022,CS,381,INTRO TO DISCRETE STRUCTURES,3,HOURS ARR,,fac307
22023,CS,381,INTRO TO DISCRETE STRUCTURES,3,HOURS ARR,,fac308
